S.N,District_Name,Zone,Ecological_Belt,Development_Region,Year_BS,Year_AD,Condition,Type,Male,Female,Age,Married,Unmarried,Education,Employment,Lat,Long,Age_Group
703,Bhaktapur,Bagmati,Hill,Central,2070,2013,Normal,Mental retardation,55,49,50,48,56.0,"College degree, bachelor, master",yes,27.66294721,85.43855603,old
704,Bhaktapur,Bagmati,Hill,Central,2070,2013,Minor,Hysteria,45,38,19,36,47.0,"Some College, short continuing education or equivalent",no,27.66294721,85.43855603,young
705,Bhaktapur,Bagmati,Hill,Central,2070,2013,Normal,Alcoholism,50,18,18,2,66.0,Up to 12 years of school,yes,27.66294721,85.43855603,young
706,Bhaktapur,Bagmati,Hill,Central,2070,2013,Major,Epilepsy,52,48,18,1,99.0,Up to 12 years of school,yes,27.66294721,85.43855603,young
707,Kathmandu,Bagmati,Hill,Central,2070,2013,Severe,Depression,28,38,59,50,16.0,Up to 9 years of school,yes,27.7328855,85.35042992,old
708,Kathmandu,Bagmati,Hill,Central,2070,2013,Minor,Psychosis,33,60,48,53,40.0,PhD/Doctorate,yes,27.7328855,85.35042992,old
709,Kathmandu,Bagmati,Hill,Central,2070,2013,Normal,Anxiety,59,26,46,43,42.0,PhD/Doctorate,Unknown,27.7328855,85.35042992,old
710,Kathmandu,Bagmati,Hill,Central,2070,2013,Severe,Mental retardation,20,19,49,30,9.0,"College degree, bachelor, master",Unknown,27.7328855,85.35042992,old
711,Kathmandu,Bagmati,Hill,Central,2070,2013,Major,Hysteria,30,34,30,47,17.0,"College degree, bachelor, master",Unknown,27.7328855,85.35042992,Middle-age
712,Kathmandu,Bagmati,Hill,Central,2070,2013,Normal,Alcoholism,44,42,37,54,32.0,"College degree, bachelor, master",no,27.7328855,85.35042992,Middle-age
713,Kathmandu,Bagmati,Hill,Central,2070,2013,Severe,Epilepsy,21,49,47,24,46.0,PhD/Doctorate,yes,27.7328855,85.35042992,old
714,Nuwakot,Bagmati,Hill,Central,2070,2013,Normal,Depression,26,54,38,41,39.0,"College degree, bachelor, master",no,27.87213818,85.20553279,Middle-age
715,Nuwakot,Bagmati,Hill,Central,2070,2013,Minor,Psychosis,57,41,49,55,43.0,"College degree, bachelor, master",yes,27.87213818,85.20553279,old
716,Nuwakot,Bagmati,Hill,Central,2070,2013,Major,Anxiety,54,32,57,19,67.0,Up to 9 years of school,yes,27.87213818,85.20553279,old
717,Nuwakot,Bagmati,Hill,Central,2070,2013,Normal,Mental retardation,46,52,51,21,77.0,"College degree, bachelor, master",yes,27.87213818,85.20553279,old
718,Nuwakot,Bagmati,Hill,Central,2070,2013,Normal,Hysteria,44,39,22,29,54.0,"College degree, bachelor, master",no,27.87213818,85.20553279,Middle-age
719,Nuwakot,Bagmati,Hill,Central,2070,2013,Major,Alcoholism,45,40,41,23,62.0,PhD/Doctorate,yes,27.87213818,85.20553279,old
720,Nuwakot,Bagmati,Hill,Central,2070,2013,Normal,Epilepsy,60,60,47,30,90.0,PhD/Doctorate,yes,27.87213818,85.20553279,old
721,Rasuwa,Bagmati,Mountain,Central,2070,2013,Normal,Depression,51,20,47,31,40.0,PhD/Doctorate,yes,28.21369528,85.45366507,old
722,Rasuwa,Bagmati,Mountain,Central,2070,2013,Severe,Psychosis,32,41,40,40,33.0,PhD/Doctorate,no,28.21369528,85.45366507,old
723,Rasuwa,Bagmati,Mountain,Central,2070,2013,Minor,Anxiety,44,56,28,34,66.0,"College degree, bachelor, master",no,28.21369528,85.45366507,Middle-age
724,Rasuwa,Bagmati,Mountain,Central,2070,2013,Minor,Mental retardation,57,24,25,39,42.0,"College degree, bachelor, master",no,28.21369528,85.45366507,Middle-age
725,Rasuwa,Bagmati,Mountain,Central,2070,2013,Minor,Hysteria,59,32,41,25,66.0,PhD/Doctorate,no,28.21369528,85.45366507,old
726,Rasuwa,Bagmati,Mountain,Central,2070,2013,Major,Alcoholism,51,18,35,49,20.0,"College degree, bachelor, master",no,28.21369528,85.45366507,Middle-age
727,Rasuwa,Bagmati,Mountain,Central,2070,2013,Normal,Epilepsy,60,30,57,34,56.0,"College degree, bachelor, master",no,28.21369528,85.45366507,old
728,Dhading,Bagmati,Hill,Central,2070,2013,Normal,Depression,56,50,24,33,73.0,"College degree, bachelor, master",no,27.9527537,84.98055863,Middle-age
729,Dhading,Bagmati,Hill,Central,2070,2013,Normal,Psychosis,48,23,48,32,39.0,PhD/Doctorate,no,27.9527537,84.98055863,old
730,Dhading,Bagmati,Hill,Central,2070,2013,Major,Anxiety,42,46,43,46,42.0,PhD/Doctorate,no,27.9527537,84.98055863,old
731,Dhading,Bagmati,Hill,Central,2070,2013,Minor,Mental retardation,30,46,58,43,33.0,"College degree, bachelor, master",Unknown,27.9527537,84.98055863,old
732,Dhading,Bagmati,Hill,Central,2070,2013,Minor,Hysteria,37,24,40,51,10.0,PhD/Doctorate,no,27.9527537,84.98055863,old
733,Dhading,Bagmati,Hill,Central,2070,2013,Normal,Alcoholism,55,22,20,26,51.0,"College degree, bachelor, master",no,27.9527537,84.98055863,Middle-age
734,Dhading,Bagmati,Hill,Central,2070,2013,Severe,Epilepsy,43,42,21,33,52.0,"College degree, bachelor, master",no,27.9527537,84.98055863,Middle-age
735,Makawanpur,Narayani,Hill,Central,2070,2013,Minor,Depression,38,43,31,59,22.0,"College degree, bachelor, master",no,27.43988382,85.11702565,Middle-age
736,Makawanpur,Narayani,Hill,Central,2070,2013,Minor,Psychosis,22,36,45,28,30.0,PhD/Doctorate,no,27.43988382,85.11702565,old
737,Makawanpur,Narayani,Hill,Central,2070,2013,Severe,Anxiety,30,22,41,33,19.0,PhD/Doctorate,no,27.43988382,85.11702565,old
738,Makawanpur,Narayani,Hill,Central,2070,2013,Minor,Mental retardation,31,50,25,21,60.0,"College degree, bachelor, master",no,27.43988382,85.11702565,Middle-age
739,Makawanpur,Narayani,Hill,Central,2070,2013,Major,Hysteria,45,53,29,59,39.0,"College degree, bachelor, master",no,27.43988382,85.11702565,Middle-age
740,Makawanpur,Narayani,Hill,Central,2070,2013,Normal,Alcoholism,43,36,32,49,30.0,"College degree, bachelor, master",no,27.43988382,85.11702565,Middle-age
741,Makawanpur,Narayani,Hill,Central,2070,2013,Normal,Epilepsy,52,56,27,53,55.0,"College degree, bachelor, master",no,27.43988382,85.11702565,Middle-age
742,Rautahat,Narayani,Terai,Central,2070,2013,Major,Depression,28,31,18,3,56.0,Up to 12 years of school,yes,27.03243961,85.29121681,young
743,Rautahat,Narayani,Terai,Central,2070,2013,Major,Psychosis,49,55,19,60,44.0,"Some College, short continuing education or equivalent",no,27.03243961,85.29121681,young
744,Rautahat,Narayani,Terai,Central,2070,2013,Severe,Anxiety,18,25,27,30,13.0,"College degree, bachelor, master",no,27.03243961,85.29121681,Middle-age
745,Rautahat,Narayani,Terai,Central,2070,2013,Normal,Mental retardation,58,35,43,19,74.0,PhD/Doctorate,no,27.03243961,85.29121681,old
746,Rautahat,Narayani,Terai,Central,2070,2013,Severe,Hysteria,19,29,56,43,5.0,"College degree, bachelor, master",retired,27.03243961,85.29121681,old
747,Rautahat,Narayani,Terai,Central,2070,2013,Major,Alcoholism,56,36,25,38,54.0,Unknown,no,27.03243961,85.29121681,Middle-age
748,Rautahat,Narayani,Terai,Central,2070,2013,Major,Epilepsy,60,18,37,35,43.0,"College degree, bachelor, master",no,27.03243961,85.29121681,Middle-age
749,Bara,Narayani,Terai,Central,2070,2013,Minor,Depression,37,43,41,51,29.0,PhD/Doctorate,yes,27.13540854,85.06475248,old
750,Bara,Narayani,Terai,Central,2070,2013,Minor,Psychosis,18,40,22,20,38.0,Unknown,yes,27.13540854,85.06475248,Middle-age
751,Bara,Narayani,Terai,Central,2070,2013,Severe,Anxiety,56,40,25,47,49.0,Unknown,no,27.13540854,85.06475248,Middle-age
752,Bara,Narayani,Terai,Central,2070,2013,Minor,Mental retardation,21,27,39,47,1.0,"College degree, bachelor, master",no,27.13540854,85.06475248,Middle-age
753,Bara,Narayani,Terai,Central,2070,2013,Severe,Hysteria,50,20,59,59,11.0,Up to 12 years of school,yes,27.13540854,85.06475248,old
754,Bara,Narayani,Terai,Central,2070,2013,Normal,Alcoholism,32,55,44,33,54.0,PhD/Doctorate,yes,27.13540854,85.06475248,old
755,Bara,Narayani,Terai,Central,2070,2013,Normal,Epilepsy,49,51,40,46,54.0,PhD/Doctorate,no,27.13540854,85.06475248,old
756,Parsa,Narayani,Terai,Central,2070,2013,Minor,Depression,32,60,34,57,35.0,"College degree, bachelor, master",no,27.18232286,84.76011359,Middle-age
757,Parsa,Narayani,Terai,Central,2070,2013,Severe,Psychosis,52,47,23,46,53.0,Unknown,no,27.18232286,84.76011359,Middle-age
758,Parsa,Narayani,Terai,Central,2070,2013,Major,Anxiety,22,49,30,22,49.0,"College degree, bachelor, master",no,27.18232286,84.76011359,Middle-age
759,Parsa,Narayani,Terai,Central,2070,2013,Major,Mental retardation,58,38,49,40,56.0,"College degree, bachelor, master",no,27.18232286,84.76011359,old
760,Parsa,Narayani,Terai,Central,2070,2013,Major,Hysteria,43,21,26,22,42.0,"College degree, bachelor, master",no,27.18232286,84.76011359,Middle-age
761,Parsa,Narayani,Terai,Central,2070,2013,Severe,Alcoholism,37,37,41,19,55.0,PhD/Doctorate,no,27.18232286,84.76011359,old
762,Parsa,Narayani,Terai,Central,2070,2013,Major,Epilepsy,46,47,54,20,73.0,"College degree, bachelor, master",no,27.18232286,84.76011359,old
763,Chitwan,Narayani,Terai,Central,2070,2013,Major,Depression,50,24,37,31,43.0,"College degree, bachelor, master",no,27.54995278,84.36548036,Middle-age
764,Chitwan,Narayani,Terai,Central,2070,2013,Normal,Psychosis,50,30,20,48,32.0,Unknown,no,27.54995278,84.36548036,Middle-age
765,Chitwan,Narayani,Terai,Central,2070,2013,Normal,Anxiety,32,25,33,30,27.0,"College degree, bachelor, master",no,27.54995278,84.36548036,Middle-age
766,Chitwan,Narayani,Terai,Central,2070,2013,Major,Mental retardation,32,31,53,36,27.0,Up to 12 years of school,yes,27.54995278,84.36548036,old
767,Chitwan,Narayani,Terai,Central,2070,2013,Severe,Hysteria,24,45,40,20,49.0,PhD/Doctorate,no,27.54995278,84.36548036,old
768,Chitwan,Narayani,Terai,Central,2070,2013,Minor,Alcoholism,43,39,22,51,31.0,"College degree, bachelor, master",no,27.54995278,84.36548036,Middle-age
769,Chitwan,Narayani,Terai,Central,2070,2013,Severe,Epilepsy,21,38,32,21,38.0,"College degree, bachelor, master",no,27.54995278,84.36548036,Middle-age
770,Gorkha,Gandaki,Hill,Western,2070,2013,Major,Depression,40,56,56,22,74.0,"College degree, bachelor, master",retired,28.28884046,84.78048444,old
771,Gorkha,Gandaki,Hill,Western,2070,2013,Major,Psychosis,41,30,23,41,30.0,"College degree, bachelor, master",no,28.28884046,84.78048444,Middle-age
772,Gorkha,Gandaki,Hill,Western,2070,2013,Major,Anxiety,49,30,53,18,61.0,Up to 12 years of school,yes,28.28884046,84.78048444,old
773,Gorkha,Gandaki,Hill,Western,2070,2013,Minor,Mental retardation,32,53,36,23,62.0,"College degree, bachelor, master",no,28.28884046,84.78048444,Middle-age
774,Gorkha,Gandaki,Hill,Western,2070,2013,Minor,Hysteria,58,19,43,52,25.0,PhD/Doctorate,yes,28.28884046,84.78048444,old
775,Gorkha,Gandaki,Hill,Western,2070,2013,Severe,Alcoholism,32,32,30,34,30.0,"College degree, bachelor, master",no,28.28884046,84.78048444,Middle-age
776,Gorkha,Gandaki,Hill,Western,2070,2013,Major,Epilepsy,46,30,53,43,33.0,"College degree, bachelor, master",yes,28.28884046,84.78048444,old
777,Lamjung,Gandaki,Hill,Western,2070,2013,Major,Depression,42,36,53,32,46.0,"College degree, bachelor, master",no,28.23682669,84.41790176,old
778,Lamjung,Gandaki,Hill,Western,2070,2013,Major,Psychosis,44,52,56,35,61.0,Up to 12 years of school,no,28.23682669,84.41790176,old
779,Lamjung,Gandaki,Hill,Western,2070,2013,Normal,Anxiety,48,52,44,22,78.0,PhD/Doctorate,no,28.23682669,84.41790176,old
780,Lamjung,Gandaki,Hill,Western,2070,2013,Normal,Mental retardation,23,25,58,48,0.0,"College degree, bachelor, master",Unknown,28.23682669,84.41790176,old
781,Lamjung,Gandaki,Hill,Western,2070,2013,Minor,Hysteria,21,55,54,48,28.0,Up to 12 years of school,Unknown,28.23682669,84.41790176,old
782,Lamjung,Gandaki,Hill,Western,2070,2013,Normal,Alcoholism,40,29,24,41,28.0,"College degree, bachelor, master",no,28.23682669,84.41790176,Middle-age
783,Lamjung,Gandaki,Hill,Western,2070,2013,Normal,Epilepsy,60,32,23,25,67.0,Unknown,yes,28.23682669,84.41790176,Middle-age
784,Tanahu,Gandaki,Hill,Western,2070,2013,Minor,Depression,54,57,40,36,75.0,PhD/Doctorate,no,27.94887859,84.23370592,old
785,Tanahu,Gandaki,Hill,Western,2070,2013,Severe,Psychosis,56,53,42,53,56.0,PhD/Doctorate,no,27.94887859,84.23370592,old
786,Tanahu,Gandaki,Hill,Western,2070,2013,Severe,Anxiety,30,32,39,47,15.0,"College degree, bachelor, master",no,27.94887859,84.23370592,Middle-age
787,Tanahu,Gandaki,Hill,Western,2070,2013,Normal,Mental retardation,33,57,57,50,40.0,"College degree, bachelor, master",no,27.94887859,84.23370592,old
788,Tanahu,Gandaki,Hill,Western,2070,2013,Severe,Hysteria,34,40,22,31,43.0,Unknown,no,27.94887859,84.23370592,Middle-age
789,Tanahu,Gandaki,Hill,Western,2070,2013,Normal,Alcoholism,37,41,28,54,24.0,"College degree, bachelor, master",no,27.94887859,84.23370592,Middle-age
790,Tanahu,Gandaki,Hill,Western,2070,2013,Normal,Epilepsy,41,47,27,52,36.0,"College degree, bachelor, master",no,27.94887859,84.23370592,Middle-age
791,Syangja,Gandaki,Hill,Western,2070,2013,Normal,Depression,39,42,21,26,55.0,Unknown,no,28.01170542,83.77998363,Middle-age
792,Syangja,Gandaki,Hill,Western,2070,2013,Severe,Psychosis,55,27,35,27,55.0,"College degree, bachelor, master",no,28.01170542,83.77998363,Middle-age
793,Syangja,Gandaki,Hill,Western,2070,2013,Major,Anxiety,56,41,45,19,78.0,PhD/Doctorate,no,28.01170542,83.77998363,old
794,Syangja,Gandaki,Hill,Western,2070,2013,Severe,Mental retardation,49,28,26,25,52.0,"College degree, bachelor, master",no,28.01170542,83.77998363,Middle-age
795,Syangja,Gandaki,Hill,Western,2070,2013,Severe,Hysteria,33,33,60,21,45.0,Up to 9 years of school,no,28.01170542,83.77998363,old
796,Syangja,Gandaki,Hill,Western,2070,2013,Severe,Alcoholism,25,41,22,51,15.0,Unknown,no,28.01170542,83.77998363,Middle-age
797,Syangja,Gandaki,Hill,Western,2070,2013,Normal,Epilepsy,55,39,41,48,46.0,PhD/Doctorate,no,28.01170542,83.77998363,old
798,Kaski,Gandaki,Hill,Western,2070,2013,Severe,Depression,31,35,44,18,48.0,PhD/Doctorate,no,28.30661651,84.01052734,old
799,Kaski,Gandaki,Hill,Western,2070,2013,Normal,Psychosis,26,19,43,41,4.0,PhD/Doctorate,no,28.30661651,84.01052734,old
800,Kaski,Gandaki,Hill,Western,2070,2013,Minor,Anxiety,57,31,59,32,56.0,"College degree, bachelor, master",Unknown,28.30661651,84.01052734,old
801,Kaski,Gandaki,Hill,Western,2070,2013,Normal,Mental retardation,60,27,60,37,50.0,Up to 9 years of school,retired,28.30661651,84.01052734,old
802,Kaski,Gandaki,Hill,Western,2070,2013,Major,Hysteria,31,59,20,38,52.0,Unknown,no,28.30661651,84.01052734,Middle-age
803,Kaski,Gandaki,Hill,Western,2070,2013,Major,Alcoholism,37,26,26,29,34.0,"College degree, bachelor, master",no,28.30661651,84.01052734,Middle-age
804,Kaski,Gandaki,Hill,Western,2070,2013,Major,Epilepsy,26,29,56,55,0.0,"College degree, bachelor, master",yes,28.30661651,84.01052734,old
805,Manang,Gandaki,Mountain,Western,2070,2013,Major,Depression,38,18,26,49,7.0,"College degree, bachelor, master",no,28.69469101,84.2357415,Middle-age
806,Manang,Gandaki,Mountain,Western,2070,2013,Severe,Psychosis,28,27,47,39,16.0,PhD/Doctorate,yes,28.69469101,84.2357415,old
807,Manang,Gandaki,Mountain,Western,2070,2013,Minor,Anxiety,30,27,48,56,1.0,PhD/Doctorate,yes,28.69469101,84.2357415,old
808,Manang,Gandaki,Mountain,Western,2070,2013,Minor,Mental retardation,38,51,53,21,68.0,"College degree, bachelor, master",yes,28.69469101,84.2357415,old
809,Manang,Gandaki,Mountain,Western,2070,2013,Major,Hysteria,46,34,23,33,47.0,Unknown,yes,28.69469101,84.2357415,Middle-age
810,Manang,Gandaki,Mountain,Western,2070,2013,Major,Alcoholism,54,56,60,38,72.0,Up to 12 years of school,retired,28.69469101,84.2357415,old
811,Manang,Gandaki,Mountain,Western,2070,2013,Severe,Epilepsy,46,59,56,54,51.0,"College degree, bachelor, master",yes,28.69469101,84.2357415,old
812,Mustang,Dhawalagiri,Mountain,Western,2070,2013,Normal,Depression,60,32,48,43,49.0,PhD/Doctorate,yes,29.02209022,83.88796267,old
813,Mustang,Dhawalagiri,Mountain,Western,2070,2013,Major,Psychosis,52,20,49,45,27.0,"College degree, bachelor, master",yes,29.02209022,83.88796267,old
814,Mustang,Dhawalagiri,Mountain,Western,2070,2013,Severe,Anxiety,41,58,54,44,55.0,"College degree, bachelor, master",yes,29.02209022,83.88796267,old
815,Mustang,Dhawalagiri,Mountain,Western,2070,2013,Severe,Mental retardation,28,55,53,58,25.0,Up to 9 years of school,yes,29.02209022,83.88796267,old
816,Mustang,Dhawalagiri,Mountain,Western,2070,2013,Minor,Hysteria,50,27,34,32,45.0,"College degree, bachelor, master",no,29.02209022,83.88796267,Middle-age
817,Mustang,Dhawalagiri,Mountain,Western,2070,2013,Normal,Alcoholism,42,23,20,24,41.0,"College degree, bachelor, master",yes,29.02209022,83.88796267,Middle-age
818,Mustang,Dhawalagiri,Mountain,Western,2070,2013,Normal,Epilepsy,56,19,38,19,56.0,"College degree, bachelor, master",no,29.02209022,83.88796267,Middle-age
819,Myagdi,Dhawalagiri,Hill,Western,2070,2013,Minor,Depression,31,37,47,49,19.0,PhD/Doctorate,yes,28.52877381,83.47535629,old
820,Myagdi,Dhawalagiri,Hill,Western,2070,2013,Minor,Psychosis,39,49,25,49,39.0,"College degree, bachelor, master",yes,28.52877381,83.47535629,Middle-age
821,Myagdi,Dhawalagiri,Hill,Western,2070,2013,Severe,Anxiety,55,48,54,26,77.0,"College degree, bachelor, master",yes,28.52877381,83.47535629,old
822,Myagdi,Dhawalagiri,Hill,Western,2070,2013,Minor,Mental retardation,24,28,47,55,40.74293353705119,PhD/Doctorate,yes,28.52877381,83.47535629,old
823,Myagdi,Dhawalagiri,Hill,Western,2070,2013,Minor,Hysteria,46,48,25,24,70.0,"College degree, bachelor, master",yes,28.52877381,83.47535629,Middle-age
824,Myagdi,Dhawalagiri,Hill,Western,2070,2013,Normal,Alcoholism,38,24,32,55,7.0,"College degree, bachelor, master",no,28.52877381,83.47535629,Middle-age
825,Myagdi,Dhawalagiri,Hill,Western,2070,2013,Minor,Epilepsy,56,26,49,49,33.0,Up to 12 years of school,yes,28.52877381,83.47535629,old
826,Parbat,Dhawalagiri,Hill,Western,2070,2013,Major,Depression,44,32,58,60,16.0,"College degree, bachelor, master",yes,28.19805363,83.67436777,old
827,Parbat,Dhawalagiri,Hill,Western,2070,2013,Major,Psychosis,57,38,56,26,69.0,"College degree, bachelor, master",yes,28.19805363,83.67436777,old
828,Parbat,Dhawalagiri,Hill,Western,2070,2013,Normal,Anxiety,32,36,52,44,24.0,Up to 12 years of school,no,28.19805363,83.67436777,old
829,Parbat,Dhawalagiri,Hill,Western,2070,2013,Normal,Mental retardation,51,44,29,45,50.0,"College degree, bachelor, master",no,28.19805363,83.67436777,Middle-age
830,Parbat,Dhawalagiri,Hill,Western,2070,2013,Severe,Hysteria,34,33,24,37,30.0,None,yes,28.19805363,83.67436777,Middle-age
831,Parbat,Dhawalagiri,Hill,Western,2070,2013,Minor,Alcoholism,18,55,20,25,48.0,"College degree, bachelor, master",no,28.19805363,83.67436777,Middle-age
832,Parbat,Dhawalagiri,Hill,Western,2070,2013,Minor,Epilepsy,27,52,44,29,50.0,PhD/Doctorate,no,28.19805363,83.67436777,old
833,Baglung,Dhawalagiri,Hill,Western,2070,2013,Severe,Depression,56,28,54,20,64.0,"College degree, bachelor, master",no,28.33975247,83.2731612,old
834,Baglung,Dhawalagiri,Hill,Western,2070,2013,Minor,Psychosis,28,57,54,26,59.0,"College degree, bachelor, master",no,28.33975247,83.2731612,old
835,Baglung,Dhawalagiri,Hill,Western,2070,2013,Minor,Anxiety,19,55,47,49,25.0,PhD/Doctorate,no,28.33975247,83.2731612,old
836,Baglung,Dhawalagiri,Hill,Western,2070,2013,Normal,Mental retardation,49,25,30,49,25.0,"College degree, bachelor, master",no,28.33975247,83.2731612,Middle-age
837,Baglung,Dhawalagiri,Hill,Western,2070,2013,Normal,Hysteria,25,58,27,45,38.0,"College degree, bachelor, master",no,28.33975247,83.2731612,Middle-age
838,Baglung,Dhawalagiri,Hill,Western,2070,2013,Major,Alcoholism,33,45,35,27,51.0,"College degree, bachelor, master",no,28.33975247,83.2731612,Middle-age
839,Baglung,Dhawalagiri,Hill,Western,2070,2013,Minor,Epilepsy,53,56,23,32,77.0,"College degree, bachelor, master",no,28.33975247,83.2731612,Middle-age
840,Gulmi,Lumbini,Hill,Western,2070,2013,Minor,Depression,40,52,34,51,41.0,"College degree, bachelor, master",no,28.08755407,83.30920208,Middle-age
841,Gulmi,Lumbini,Hill,Western,2070,2013,Normal,Psychosis,40,42,27,50,32.0,"College degree, bachelor, master",no,28.08755407,83.30920208,Middle-age
842,Gulmi,Lumbini,Hill,Western,2070,2013,Minor,Anxiety,34,32,42,39,27.0,PhD/Doctorate,no,28.08755407,83.30920208,old
843,Gulmi,Lumbini,Hill,Western,2070,2013,Severe,Mental retardation,32,57,30,28,61.0,"College degree, bachelor, master",no,28.08755407,83.30920208,Middle-age
844,Gulmi,Lumbini,Hill,Western,2070,2013,Major,Hysteria,48,28,30,45,31.0,"College degree, bachelor, master",no,28.08755407,83.30920208,Middle-age
845,Gulmi,Lumbini,Hill,Western,2070,2013,Minor,Alcoholism,21,55,54,51,25.0,Up to 12 years of school,yes,28.08755407,83.30920208,old
846,Gulmi,Lumbini,Hill,Western,2070,2013,Severe,Epilepsy,43,21,30,39,25.0,"College degree, bachelor, master",no,28.08755407,83.30920208,Middle-age
847,Palpa,Lumbini,Hill,Western,2070,2013,Major,Depression,22,29,20,26,25.0,"College degree, bachelor, master",no,27.82143756,83.61908522,Middle-age
848,Palpa,Lumbini,Hill,Western,2070,2013,Major,Psychosis,24,42,50,20,46.0,"College degree, bachelor, master",Unknown,27.82143756,83.61908522,old
849,Palpa,Lumbini,Hill,Western,2070,2013,Normal,Anxiety,30,32,57,21,41.0,Up to 12 years of school,retired,27.82143756,83.61908522,old
850,Palpa,Lumbini,Hill,Western,2070,2013,Severe,Mental retardation,57,56,25,28,85.0,Unknown,no,27.82143756,83.61908522,Middle-age
851,Palpa,Lumbini,Hill,Western,2070,2013,Normal,Hysteria,31,26,20,21,36.0,"College degree, bachelor, master",no,27.82143756,83.61908522,Middle-age
852,Palpa,Lumbini,Hill,Western,2070,2013,Severe,Alcoholism,58,41,47,33,66.0,PhD/Doctorate,Unknown,27.82143756,83.61908522,old
853,Palpa,Lumbini,Hill,Western,2070,2013,Minor,Epilepsy,31,20,44,46,5.0,PhD/Doctorate,Unknown,27.82143756,83.61908522,old
854,Nawalparasi,Lumbini,Terai,Western,2070,2013,Normal,Depression,43,23,48,49,17.0,PhD/Doctorate,Unknown,27.66476736,83.93892312,old
855,Nawalparasi,Lumbini,Terai,Western,2070,2013,Major,Psychosis,42,28,48,48,22.0,PhD/Doctorate,Unknown,27.66476736,83.93892312,old
856,Nawalparasi,Lumbini,Terai,Western,2070,2013,Minor,Anxiety,45,37,34,58,24.0,"College degree, bachelor, master",no,27.66476736,83.93892312,Middle-age
857,Nawalparasi,Lumbini,Terai,Western,2070,2013,Normal,Mental retardation,19,49,41,40,28.0,PhD/Doctorate,Unknown,27.66476736,83.93892312,old
858,Nawalparasi,Lumbini,Terai,Western,2070,2013,Major,Hysteria,54,49,32,31,72.0,"College degree, bachelor, master",no,27.66476736,83.93892312,Middle-age
859,Nawalparasi,Lumbini,Terai,Western,2070,2013,Minor,Alcoholism,59,28,59,40,47.0,"College degree, bachelor, master",Unknown,27.66476736,83.93892312,old
860,Nawalparasi,Lumbini,Terai,Western,2070,2013,Severe,Epilepsy,54,29,19,18,65.0,"Some College, short continuing education or equivalent",no,27.66476736,83.93892312,young
861,Rupandehi,Lumbini,Terai,Western,2070,2013,Minor,Depression,48,35,40,40,43.0,PhD/Doctorate,no,27.55443071,83.38330337,old
862,Rupandehi,Lumbini,Terai,Western,2070,2013,Severe,Psychosis,32,44,43,43,33.0,PhD/Doctorate,yes,27.55443071,83.38330337,old
863,Rupandehi,Lumbini,Terai,Western,2070,2013,Severe,Anxiety,31,35,57,59,7.0,"College degree, bachelor, master",retired,27.55443071,83.38330337,old
864,Rupandehi,Lumbini,Terai,Western,2070,2013,Minor,Mental retardation,36,21,20,52,5.0,"College degree, bachelor, master",no,27.55443071,83.38330337,Middle-age
865,Rupandehi,Lumbini,Terai,Western,2070,2013,Normal,Hysteria,29,38,31,37,30.0,"College degree, bachelor, master",no,27.55443071,83.38330337,Middle-age
866,Rupandehi,Lumbini,Terai,Western,2070,2013,Normal,Alcoholism,34,54,47,27,61.0,PhD/Doctorate,no,27.55443071,83.38330337,old
867,Rupandehi,Lumbini,Terai,Western,2070,2013,Major,Epilepsy,34,21,60,52,3.0,"College degree, bachelor, master",no,27.55443071,83.38330337,old
868,Kapilvastu,Lumbini,Terai,Western,2070,2013,Major,Depression,37,53,24,19,71.0,"College degree, bachelor, master",no,27.62216856,82.9780085,Middle-age
869,Kapilvastu,Lumbini,Terai,Western,2070,2013,Minor,Psychosis,31,42,46,20,53.0,PhD/Doctorate,no,27.62216856,82.9780085,old
870,Kapilvastu,Lumbini,Terai,Western,2070,2013,Normal,Anxiety,54,20,27,43,31.0,"College degree, bachelor, master",no,27.62216856,82.9780085,Middle-age
871,Kapilvastu,Lumbini,Terai,Western,2070,2013,Severe,Mental retardation,31,48,42,24,55.0,PhD/Doctorate,no,27.62216856,82.9780085,old
872,Kapilvastu,Lumbini,Terai,Western,2070,2013,Minor,Hysteria,33,31,23,58,6.0,Unknown,no,27.62216856,82.9780085,Middle-age
873,Kapilvastu,Lumbini,Terai,Western,2070,2013,Normal,Alcoholism,30,60,55,32,58.0,None,yes,27.62216856,82.9780085,old
874,Kapilvastu,Lumbini,Terai,Western,2070,2013,Severe,Epilepsy,23,50,20,54,19.0,"College degree, bachelor, master",no,27.62216856,82.9780085,Middle-age
875,Arghakhanchi,Lumbini,Hill,Western,2070,2013,Minor,Depression,59,58,33,54,63.0,"College degree, bachelor, master",no,27.90779334,83.06585909,Middle-age
876,Arghakhanchi,Lumbini,Hill,Western,2070,2013,Minor,Psychosis,33,22,29,26,29.0,"College degree, bachelor, master",no,27.90779334,83.06585909,Middle-age
877,Arghakhanchi,Lumbini,Hill,Western,2070,2013,Minor,Anxiety,21,60,46,56,25.0,PhD/Doctorate,yes,27.90779334,83.06585909,old
878,Arghakhanchi,Lumbini,Hill,Western,2070,2013,Major,Mental retardation,38,30,53,21,47.0,"College degree, bachelor, master",yes,27.90779334,83.06585909,old
879,Arghakhanchi,Lumbini,Hill,Western,2070,2013,Severe,Hysteria,35,38,18,1,72.0,Up to 12 years of school,no,27.90779334,83.06585909,young
